Módulo,Capacidad Nominal (Ah),Capacidad Efectiva (Ah),Resistencia (mΩ),SOH (%),Estado,Diferencia Voltaje (mV)
1,6.5,5.82,25.0,89.5,SANO,0.0
2,6.5,5.82,25.0,89.5,SANO,0.0
3,6.5,5.82,25.0,89.5,SANO,0.0
4,6.5,5.82,25.0,89.5,SANO,0.0
5,6.5,5.82,25.0,89.5,SANO,0.0
6,6.5,5.82,25.0,89.5,SANO,0.0
7,6.5,5.82,25.0,89.5,SANO,0.0
8,6.5,5.82,25.0,89.5,SANO,0.0
9,6.5,5.82,25.0,89.5,SANO,0.0
10,6.5,5.82,25.0,89.5,SANO,0.0
11,6.5,5.82,25.0,89.5,SANO,0.0
12,6.5,5.82,25.0,89.5,SANO,0.0
13,6.5,5.82,25.0,89.5,SANO,0.0
14,6.5,5.82,25.0,89.5,SANO,0.0
