Módulo,Capacidad Nominal (Ah),Capacidad Efectiva (Ah),Resistencia (mΩ),SOH (%),Estado,Diferencia Voltaje (mV)
1,6.5,5.3,30.0,81.6,SANO,39.4
2,6.5,5.3,30.0,81.6,SANO,39.4
3,6.5,5.3,30.0,81.6,SANO,39.4
4,6.5,5.3,30.0,81.6,SANO,39.4
5,6.5,5.3,30.0,81.6,SANO,39.4
6,6.5,3.88,40.0,59.6,DEGRADADO,116.3
7,6.5,4.08,45.0,62.8,SOSPECHOSO,101.5
8,6.5,3.88,40.0,59.6,DEGRADADO,116.3
9,6.5,4.33,38.0,66.6,SOSPECHOSO,60.2
10,6.5,5.3,30.0,81.6,SANO,39.4
11,6.5,5.3,30.0,81.6,SANO,39.4
12,6.5,5.3,30.0,81.6,SANO,39.4
13,6.5,5.3,30.0,81.6,SANO,39.4
14,6.5,5.3,30.0,81.6,SANO,39.4
