Módulo,Capacidad Nominal (Ah),Capacidad Efectiva (Ah),Resistencia (mΩ),SOH (%),Estado,Diferencia Voltaje (mV)
1,6.5,2.48,55.0,38.2,DEGRADADO,0.8
2,6.5,2.67,52.0,41.1,DEGRADADO,57.5
3,6.5,2.3,58.0,35.4,DEGRADADO,66.3
4,6.5,2.57,54.0,39.6,DEGRADADO,27.5
5,6.5,2.48,56.0,38.1,DEGRADADO,4.0
6,6.5,2.37,60.0,36.5,DEGRADADO,43.9
7,6.5,2.48,55.0,38.2,DEGRADADO,0.8
8,6.5,2.66,53.0,41.0,DEGRADADO,54.2
9,6.5,2.29,59.0,35.3,DEGRADADO,69.6
10,6.5,2.48,55.0,38.2,DEGRADADO,0.8
11,6.5,2.57,54.0,39.6,DEGRADADO,27.5
12,6.5,2.39,57.0,36.8,DEGRADADO,34.2
13,6.5,2.48,55.0,38.2,DEGRADADO,0.8
14,6.5,2.66,53.0,41.0,DEGRADADO,54.2
