Módulo,Capacidad Nominal (Ah),Capacidad Efectiva (Ah),Resistencia (mΩ),SOH (%),Estado,Diferencia Voltaje (mV)
1,6.5,5.82,25.0,89.5,SANO,21.1
2,6.5,5.82,25.0,89.5,SANO,21.1
3,6.5,5.82,25.0,89.5,SANO,21.1
4,6.5,5.82,25.0,89.5,SANO,21.1
5,6.5,5.82,25.0,89.5,SANO,21.1
6,6.5,5.82,25.0,89.5,SANO,21.1
7,6.5,3.36,50.0,51.7,DEGRADADO,274.1
8,6.5,5.82,25.0,89.5,SANO,21.1
9,6.5,5.82,25.0,89.5,SANO,21.1
10,6.5,5.82,25.0,89.5,SANO,21.1
11,6.5,5.82,25.0,89.5,SANO,21.1
12,6.5,5.82,25.0,89.5,SANO,21.1
13,6.5,5.82,25.0,89.5,SANO,21.1
14,6.5,5.82,25.0,89.5,SANO,21.1
